time,strategy,equity,cash
2026-05-01 21:20:57.025732,MR,99999.22,99719.15
2026-05-01 21:20:57.131939,MR,99999.22,99719.15
2026-05-01 21:20:57.226544,MR,99999.22,99719.15
2026-05-01 21:20:57.336736,MR,99999.22,99719.15
2026-05-01 21:20:57.428645,MR,99999.22,99719.15
2026-05-02 20:44:34.241404,MR,99999.29,99719.15
2026-05-02 20:44:34.350572,MR,99999.29,99719.15
2026-05-02 20:44:34.457910,MR,99999.29,99719.15
2026-05-02 20:44:34.578294,MR,99999.29,99719.15
2026-05-02 20:44:34.684500,MR,99999.29,99719.15
2026-05-04 19:04:38.010920,MR,99643.62,38440.27
2026-05-04 19:04:38.112786,MR,99643.62,38440.27
2026-05-04 19:04:38.219277,MR,99643.62,38440.27
2026-05-04 19:04:38.318076,MR,99643.62,38440.27
2026-05-04 19:04:38.414324,MR,99643.62,38440.27
2026-05-05 16:38:45.804346,MR,100298.21,38440.27
2026-05-05 16:38:45.910130,MR,100298.21,38440.27
2026-05-05 16:38:46.001453,MR,100298.21,38440.27
2026-05-05 16:38:46.104862,MR,100298.21,38440.27
2026-05-05 16:38:46.201023,MR,100298.21,38440.27
2026-05-07 20:10:07.699529,MR,102258.2,38440.27
2026-05-07 20:10:07.856200,MR,102258.2,38440.27
2026-05-07 20:10:07.952786,MR,102258.2,38440.27
2026-05-07 20:10:08.053611,MR,102258.2,38440.27
2026-05-07 20:10:08.207799,MR,102258.2,38440.27
2026-05-08 17:48:51.396234,MR,102657.92,70533.39
2026-05-08 17:48:51.563111,MR,102657.92,70533.39
2026-05-08 17:48:51.735997,MR,102657.92,70533.39
2026-05-08 17:48:51.833777,MR,102657.92,70533.39
2026-05-08 17:48:51.990856,MR,102657.92,70533.39
2026-05-08 17:49:55.421777,MR,102659.29,70533.39
2026-05-08 17:49:55.572726,MR,102659.29,70533.39
2026-05-08 17:49:55.720777,MR,102659.29,70533.39
2026-05-08 17:49:55.825807,MR,102659.29,70533.39
2026-05-08 17:49:55.988484,MR,102659.29,70533.39
